2,(1)
3,(2)
4,1(1),(8)
5,1(1),(3)
6,(4)
7,1(1),(1)
8,1(1),(2)
9,(2)
10,1(4),(1)
11,1(2),(7)
12,1(1),(1)
13,1(1),(1)
14,1(1),(9)
15,1(2),(8)
16,1(1),(10)
17,1(2),(2)
18,(4)
19,1(18),(1)
20,1(1),(2)
21,1(1),(5)
22,2(2),(7)
23,2(4),(1)
24,1(1),(8)
25,4(1),(1)
26,2(1),(1)
27,(2)
28,2(1),(10)
29,1(2),(1)
30,2(2),(11)
31,5(1),(8)
32,1(1),(9)
33,2(1),(12)
34,2(2),(7)
35,1(2),(2)
36,3(1),(15)
37,4(1),(8)
38,2(18),(1)
39,3(7),(4)
40,1(4),(5)
41,4(1),(7)
42,2(1),(5)
43,1(1),(1)
44,7(1),(14)
45,6(1),(4)
46,3(1),(12)
47,10(1),(2)
48,2(1),(8)
49,1(5),(1)
50,5(4),(1)
51,3(2),(2)
52,6(1),(12)
53,1(1),(4)
54,(4)
55,2(1),(2)
56,1(1),(12)
57,3(18),(2)
58,1(2),(4)
59,2(1),(8)
60,1(1),(16)
61,2(1),(6)
62,10(1),(11)
63,3(1),(5)
64,1(4),(1)
65,1(1),(3)
66,4(2),(11)
67,2(1),(9)
68,6(1),(2)
69,5(1),(5)
70,1(4),(8)
71,14(4),(1)
72,6(1),(15)
73,4(2),(2)
74,8(8),(4)
75,1(1),(1)
76,10(1),(8)
77,4(1),(6)
78,5(1),(4)
79,5(1),(9)
80,1(1),(7)
81,(2)
82,8(1),(7)
83,3(2),(2)
84,6(1),(10)
85,2(1),(10)
86,2(1),(1)
87,3(8),(2)
88,7(4),(1)
89,6(1),(4)
90,9(4),(4)
91,1(18),(1)
92,1(1),(3)
93,5(2),(8)
94,7(1),(2)
95,9(2),(2)
96,3(1),(9)
97,1(8),(2)
98,2(5),(1)
99,9(8),(2)
100,5(1),(2)
101,3(1),(3)
102,5(1),(5)
103,3(1),(1)
104,7(1),(2)
105,3(2),(2)
106,2(1),(4)
107,3(2),(5)
108,2(1),(18)
109,4(4),(8)
110,3(1),(3)
111,5(2),(7)
112,2(1),(12)
113,10(1),(6)
114,6(18),(4)
115,2(1),(2)
116,9(1),(18)
117,9(7),(4)
118,4(8),(4)
119,15(1),(4)
120,3(4),(5)
121,2(1),(16)
122,3(1),(8)
123,12(2),(15)
124,13(1),(8)
125,11(5),(1)
126,6(1),(5)
127,10(9),(2)
128,8(1),(10)
129,2(1),(3)
130,2(1),(16)
131,2(1),(8)
132,14(1),(14)
133,3(2),(7)
134,3(1),(3)
135,1(1),(4)
136,5(1),(16)
137,7(2),(8)
138,9(2),(2)
139,22(9),(2)
140,2(4),(8)
141,5(1),(5)
142,5(1),(9)
143,6(1),(15)
144,9(1),(10)
145,14(1),(14)
146,8(5),(4)
147,3(16),(4)
148,21(1),(16)
149,2(4),(1)
150,2(1),(1)
151,5(1),(9)
152,20(1),(8)
153,9(2),(2)
154,8(1),(6)
155,4(1),(3)
156,13(1),(1)
157,19(5),(1)
158,9(1),(10)
159,3(1),(4)
160,2(1),(14)
161,22(1),(10)
162,(4)
163,2(1),(12)
164,13(1),(3)
165,6(1),(2)
166,6(2),(17)
167,4(1),(7)
168,3(2),(10)
169,14(1),(2)
170,1(1),(2)
171,4(1),(6)
172,10(2),(2)
173,10(1),(16)
174,3(2),(4)
175,12(1),(12)
176,3(1),(1)
177,6(7),(2)
178,12(1),(4)
179,5(4),(1)
180,3(1),(16)
181,8(1),(6)
182,2(18),(1)
183,6(1),(6)
184,2(1),(3)
185,1(1),(7)
186,10(2),(11)
187,2(1),(7)
188,14(1),(2)
189,9(1),(5)
190,7(2),(10)
191,2(9),(2)
192,3(4),(4)
193,2(1),(7)
194,2(8),(5)
195,3(1),(3)
196,53(1),(14)
197,11(5),(2)
198,18(8),(5)
199,5(1),(9)
200,5(4),(5)
201,6(1),(9)
202,6(1),(16)
203,32(6),(1)
204,18(1),(2)
205,1(10),(2)
206,6(1),(1)
207,4(1),(18)
208,14(1),(2)
209,24(1),(14)
210,3(6),(10)
211,10(1),(1)
212,5(2),(2)
213,13(2),(5)
214,6(2),(5)
215,7(1),(9)
216,4(1),(18)
217,23(1),(3)
218,8(10),(5)
219,2(1),(3)
220,6(1),(3)
221,9(2),(2)
222,10(2),(7)
223,13(2),(4)
224,4(1),(12)
225,1(1),(3)
226,17(1),(7)
227,10(1),(14)
228,30(1),(10)
229,1(5),(2)
230,4(2),(7)
231,1(2),(6)
232,3(1),(2)
233,28(1),(14)
234,15(1),(4)
235,13(4),(4)
236,10(1),(14)
237,10(1),(15)
238,1(1),(8)
239,24(1),(15)
240,1(1),(1)
241,11(1),(8)
242,4(1),(16)
243,(2)
244,6(1),(8)
245,48(1),(5)
246,24(4),(5)
247,28(1),(1)
248,26(1),(8)
249,9(2),(2)
250,13(1),(8)
251,3(1),(9)
252,18(1),(10)
253,5(2),(1)
254,20(10),(1)
255,6(1),(10)
256,3(1),(4)
257,20(2),(10)
258,4(1),(16)
259,9(2),(2)
260,14(4),(8)
261,9(8),(2)
262,4(2),(1)
263,4(1),(12)
264,5(1),(13)
265,7(1),(1)
266,3(1),(3)
267,14(1),(12)
268,6(1),(3)
269,16(1),(6)
270,2(1),(4)
271,20(1),(11)
272,13(1),(9)
273,3(18),(2)
274,1(4),(4)
275,13(1),(4)
276,3(1),(3)
277,17(1),(3)
278,44(10),(1)
279,44(1),(8)
280,4(4),(8)
281,22(1),(10)
282,10(1),(5)
283,7(2),(4)
284,21(1),(3)
285,2(1),(16)
286,12(2),(7)
287,3(1),(3)
288,9(1),(9)
289,3(2),(5)
290,5(2),(4)
291,3(8),(2)
292,17(1),(14)
293,10(1),(3)
294,6(16),(4)
295,39(1),(1)
296,5(1),(2)
297,14(1),(8)
298,4(4),(1)
299,28(1),(7)
300,5(1),(16)
301,5(2),(2)
302,10(1),(9)
303,9(1),(3)
304,40(1),(8)
305,14(4),(8)
306,15(1),(5)
307,7(5),(2)
308,15(1),(12)
309,9(4),(9)
310,8(1),(9)
311,24(1),(12)
312,13(1),(8)
313,21(2),(5)
314,15(1),(4)
315,9(2),(2)
316,18(1),(10)
317,10(1),(3)
318,6(1),(4)
319,39(2),(2)
320,4(1),(14)
321,9(2),(5)
322,3(1),(4)
323,67(1),(9)
324,27(1),(15)
325,68(1),(14)
326,3(1),(1)
327,7(1),(4)
328,26(1),(3)
329,38(2),(2)
330,7(1),(16)
