2,(1)
3,1(1),(3)
4,1(1),(2)
5,1(1),(3)
6,1(1),(15)
7,1(5),(11)
8,1(1),(5)
9,1(1),(3)
10,1(1),(7)
11,(2)
12,1(9),(5)
13,1(1),(10)
14,1(1),(6)
15,1(1),(11)
16,1(1),(20)
17,1(5),(3)
18,1(1),(15)
19,1(5),(5)
20,1(1),(5)
21,1(1),(8)
22,(2)
23,1(22),(1)
24,1(1),(7)
25,1(1),(6)
26,1(1),(10)
27,1(1),(5)
28,1(1),(1)
29,3(1),(8)
30,2(1),(12)
31,1(1),(9)
32,2(1),(20)
33,1(5),(10)
34,2(5),(3)
35,1(1),(8)
36,1(1),(11)
37,2(1),(22)
38,1(1),(19)
39,7(5),(7)
40,1(1),(20)
41,5(1),(1)
42,2(1),(8)
43,2(1),(4)
44,11(1),(2)
45,2(1),(10)
46,2(22),(1)
47,3(22),(1)
48,2(1),(7)
49,1(5),(8)
50,2(1),(6)
51,1(5),(1)
52,2(1),(10)
53,2(1),(8)
54,2(1),(9)
55,3(5),(9)
56,4(1),(7)
57,7(1),(3)
58,6(1),(8)
59,8(1),(12)
60,5(9),(5)
61,5(5),(8)
62,2(1),(9)
63,4(1),(16)
64,4(1),(20)
65,3(5),(1)
66,2(5),(13)
67,2(1),(22)
68,1(1),(9)
69,4(1),(14)
70,2(1),(8)
71,1(5),(11)
72,2(1),(11)
73,1(1),(4)
74,4(5),(2)
75,4(1),(20)
76,2(1),(19)
77,2(1),(3)
78,3(1),(10)
79,1(5),(5)
80,2(1),(20)
81,10(1),(7)
82,1(1),(8)
83,8(1),(5)
84,1(1),(17)
85,6(1),(4)
86,4(1),(4)
87,1(1),(3)
88,11(1),(5)
89,3(5),(11)
90,4(5),(2)
91,4(1),(5)
92,6(1),(5)
93,1(1),(4)
94,3(1),(22)
95,14(1),(19)
96,4(1),(7)
97,1(5),(11)
98,2(5),(8)
99,5(1),(1)
100,5(1),(5)
101,9(1),(1)
102,2(5),(1)
103,17(5),(8)
104,1(1),(14)
105,7(1),(11)
106,4(1),(8)
107,3(5),(10)
108,3(1),(11)
109,1(1),(8)
110,6(5),(9)
111,17(5),(5)
112,8(1),(7)
113,2(1),(13)
114,1(1),(2)
115,2(1),(9)
116,5(1),(6)
117,2(1),(20)
118,16(1),(12)
119,3(1),(6)
120,3(1),(20)
121,(2)
122,9(1),(19)
123,2(1),(1)
124,5(1),(14)
125,16(1),(20)
126,7(1),(17)
127,1(1),(9)
128,7(9),(5)
129,25(1),(5)
130,6(5),(1)
131,7(5),(2)
132,11(9),(5)
133,8(1),(5)
134,1(1),(7)
135,8(1),(7)
136,1(1),(19)
137,12(1),(17)
138,5(1),(16)
139,4(1),(6)
140,5(1),(1)
141,2(1),(8)
142,2(5),(12)
143,6(1),(17)
144,4(1),(11)
145,1(1),(7)
146,2(1),(4)
147,2(1),(15)
148,9(1),(18)
149,3(1),(9)
150,7(9),(5)
151,9(1),(6)
152,1(1),(18)
153,19(5),(11)
154,4(1),(3)
155,4(1),(4)
156,6(1),(10)
157,2(1),(17)
158,2(5),(18)
159,19(5),(7)
160,4(1),(20)
161,4(1),(15)
162,9(1),(15)
163,1(1),(3)
164,1(1),(8)
165,7(5),(10)
166,16(5),(12)
167,8(1),(20)
168,2(1),(17)
169,1(1),(11)
170,12(1),(4)
171,14(1),(15)
172,9(1),(9)
173,2(1),(6)
174,2(1),(3)
175,1(5),(4)
176,11(1),(20)
177,7(5),(5)
178,6(5),(12)
179,27(1),(3)
180,5(1),(11)
181,6(1),(6)
182,8(5),(12)
183,13(5),(9)
184,12(1),(5)
185,11(1),(8)
186,2(1),(4)
187,11(5),(3)
188,6(1),(22)
189,7(1),(5)
190,9(1),(10)
191,5(1),(11)
192,8(1),(7)
193,1(5),(11)
194,2(5),(12)
195,4(1),(15)
196,17(1),(15)
197,2(1),(20)
198,10(1),(1)
199,13(5),(9)
200,5(1),(20)
201,2(1),(6)
202,18(1),(1)
203,6(1),(4)
204,13(1),(18)
205,9(1),(8)
206,1(1),(16)
207,10(1),(14)
208,1(1),(22)
209,11(5),(5)
210,14(1),(12)
211,14(1),(2)
212,1(1),(7)
213,2(1),(22)
214,5(10),(5)
215,4(1),(13)
216,6(1),(11)
217,15(1),(10)
218,2(1),(8)
219,8(1),(7)
220,11(1),(5)
221,18(1),(6)
222,21(1),(11)
223,7(1),(7)
224,16(1),(7)
225,4(1),(4)
226,1(1),(8)
227,11(5),(1)
228,9(1),(15)
229,6(1),(13)
230,4(1),(9)
231,11(1),(8)
232,10(1),(11)
233,10(1),(5)
234,4(5),(2)
235,17(5),(7)
236,7(1),(20)
237,11(5),(4)
238,3(1),(22)
239,24(1),(3)
240,6(1),(20)
241,1(5),(4)
242,(2)
243,2(1),(1)
244,11(1),(17)
245,4(1),(14)
246,4(1),(1)
247,6(1),(16)
248,10(1),(14)
249,10(1),(6)
250,21(1),(19)
251,1(5),(8)
252,3(1),(17)
253,8(1),(7)
254,2(1),(9)
255,19(5),(1)
256,1(1),(12)
257,6(1),(13)
258,13(1),(9)
259,11(1),(8)
260,9(1),(12)
261,8(7),(1)
262,7(1),(8)
263,12(1),(8)
264,11(1),(7)
265,4(1),(19)
266,1(1),(22)
267,2(1),(17)
268,2(1),(7)
269,17(5),(9)
270,16(5),(13)
271,3(5),(11)
272,2(1),(19)
273,32(1),(8)
274,24(5),(1)
275,9(1),(1)
276,18(1),(5)
277,1(1),(1)
278,3(8),(1)
279,16(1),(4)
280,11(1),(17)
281,1(5),(11)
282,4(1),(8)
283,26(1),(22)
284,19(1),(16)
285,101(1),(3)
286,11(1),(10)
287,13(1),(8)
288,8(1),(11)
289,5(1),(5)
290,2(1),(16)
291,28(1),(1)
292,21(1),(8)
293,5(1),(6)
294,4(5),(16)
295,49(1),(3)
296,17(1),(11)
297,10(1),(3)
298,6(1),(9)
299,7(1),(5)
300,14(9),(5)
