[1 1 2 1]
2,([1])
3,1([2]),([0 1])
4,1([1]),([2])
5,1([1]),([0 1 1])
6,1([1]),([0 2])
7,2([1]),([2])
8,1([1]),([0 1 1])
9,2([1]),([0 2])
10,2([1]),([0 1 1])
11,1([1]),([1 1])
12,2([1]),([0 2 2])
13,1([1]),([1 1])
14,1([1]),([2])
15,4([1]),([0 2])
16,1([1]),([0 1])
17,1([1]),([2 1])
18,1([1]),([1 1])
19,2([1]),([2])
20,1([1]),([0 2])
21,4([1]),([0 1])
22,1([1]),([2 2])
23,1([2]),([0 1 1])
24,4([1]),([0 2 2])
25,2([1]),([0 2 2])
26,2([1]),([2 2])
27,13([2]),([0 1])
28,1([1]),([0 1])
29,1([2]),([1 1])
30,1([1]),([1 2])
31,5([2]),([1])
32,2([1]),([0 1])
33,5([2]),([2 1])
34,2([1]),([2 1])
35,2([1]),([2])
36,2([1]),([1 1])
37,2([1]),([0 1 1])
38,3([1]),([2 1])
39,2([1]),([1 2])
40,1([1]),([2])
41,1([2]),([1])
42,1([1]),([0 1])
43,8([1]),([1 2])
44,1([1]),([0 2 2])
45,7([1]),([0 1])
46,2([2]),([0 1 1])
47,6([1]),([0 2 2])
48,8([1]),([0 2 2])
49,5([2]),([0 1])
50,4([2]),([0 1 1])
51,5([1]),([0 1 1])
52,7([1]),([2])
53,13([2]),([1])
54,17([1]),([2 1])
55,11([1]),([0 1 1])
56,1([1]),([2 1])
57,11([2]),([2 1])
58,2([2]),([2 2])
59,3([1]),([1 1])
60,2([1]),([1 2])
61,7([2]),([1])
62,7([1]),([0 2])
63,8([1]),([0 1])
64,3([1]),([2])
65,7([1]),([1 1])
66,10([2]),([2 1])
67,2([1]),([2])
68,25([1]),([0 2 2])
69,28([1]),([0 1])
70,3([1]),([0 2])
71,5([2]),([2 1])
72,4([1]),([1 1])
73,1([2]),([1])
74,4([1]),([0 1 1])
75,1([2]),([0 1 1])
76,9([1]),([2])
77,16([1]),([2])
78,4([2]),([2 1])
79,5([1]),([2 1])
80,2([1]),([2])
81,4([1]),([0 2 2])
82,2([2]),([1])
83,4([1]),([0 2 2])
84,2([1]),([0 1])
85,1([1]),([0 1])
86,11([1]),([2 2])
87,13([2]),([0 1])
88,2([1]),([0 2 2])
89,13([2]),([1])
90,1([1]),([1 1])
91,17([2]),([1])
92,10([1]),([2])
93,5([2]),([2 1])
94,5([1]),([0 2 2])
95,28([1]),([2 1])
96,16([1]),([0 2 2])
97,12([1]),([2])
98,7([1 1]),([1])
99,17([1]),([2 1])
100,5([1]),([0 2])
101,28([1]),([2 1])
102,10([1]),([0 1 1])
103,29([2]),([2 1])
104,5([1]),([2])
105,23([2]),([2 1])
106,7([1]),([2 1])
107,3([2]),([1])
108,50([1]),([0 2 2])
109,9([2]),([1])
110,22([1]),([0 1 1])
111,2([1]),([1 2])
112,4([1]),([0 1])
113,19([2]),([1])
114,17([1]),([0 1])
115,32([1]),([2])
116,15([1]),([2])
117,11([2]),([0 1])
118,6([1]),([2 2])
119,2([1]),([2])
120,4([1]),([1 2])
121,1([1]),([2 1])
122,1([1]),([1 2])
123,10([1]),([0 2])
124,11([1]),([2 2])
125,52([1]),([2])
126,7([1]),([0 2 2])
127,8([1]),([2])
128,5([1]),([0 2 2])
129,38([0 1 1]),([1])
130,14([1]),([2 2])
131,2([1]),([0 1 1])
132,46([1]),([1 2])
133,6([1]),([0 2])
134,4([2]),([1])
135,17([1]),([1 1])
136,50([1]),([0 2 2])
137,1([2]),([1])
138,1([1]),([1 1])
139,41([2]),([0 1 1])
140,5([1]),([1 2])
141,4([1]),([1 1])
142,10([2]),([2 1])
143,3([1]),([1 1])
144,8([1]),([1 1])
145,8([1]),([1 2])
146,2([2]),([1])
147,8([1]),2([1]),([1 2])
148,3([1]),([2])
149,22([1]),([0 1 1])
150,2([2]),([0 1 1])
